Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Income Group,TotalIncome,Risk Category
LP001036,Female,No,0,Graduate,No,3510,0,76,360,0,Urban,Rejected,Medium,3510,High Risk
LP001038,Male,Yes,0,Not Graduate,No,4887,0,133,360,1,Rural,Rejected,Medium,4887,Low Risk
LP001041,Male,Yes,0,Graduate,No,2600,3500,115,360,1,Urban,Approved,Low,6100,Low Risk
LP001043,Male,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban,Rejected,High,7660,High Risk
LP001046,Male,Yes,1,Graduate,No,5955,5625,315,360,1,Urban,Approved,Medium,11580,Low Risk
LP001047,Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,Rejected,Low,4511,High Risk
LP001050,Male,Yes,2,Not Graduate,No,3365,1917,112,360,0,Rural,Rejected,Medium,5282,High Risk
LP001052,Male,Yes,1,Graduate,No,3717,2925,151,360,1,Semiurban,Rejected,Medium,6642,Low Risk
LP001066,Male,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban,Approved,High,9560,Low Risk
LP001068,Male,Yes,0,Graduate,No,2799,2253,122,360,1,Semiurban,Approved,Low,5052,Low Risk
LP001073,Male,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban,Approved,Medium,5266,Low Risk
LP001086,Male,No,0,Not Graduate,No,1442,0,35,360,1,Urban,Rejected,Low,1442,Low Risk
LP001087,Female,No,2,Graduate,No,3750,2083,120,360,1,Semiurban,Approved,Medium,5833,Low Risk
LP001091,Male,Yes,1,Graduate,No,4166,3369,201,360,1,Urban,Rejected,Medium,7535,Low Risk
LP001095,Male,No,0,Graduate,No,3167,0,74,360,1,Urban,Rejected,Medium,3167,Low Risk
LP001097,Male,No,1,Graduate,Yes,4692,0,106,360,1,Rural,Rejected,Medium,4692,Low Risk
LP001098,Male,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban,Approved,Medium,5167,Low Risk
LP001100,Male,No,3,Graduate,No,12500,3000,320,360,1,Rural,Rejected,High,15500,Low Risk
LP001106,Male,Yes,0,Graduate,No,2275,2067,146,360,1,Urban,Approved,Low,4342,Low Risk
LP001109,Male,Yes,0,Graduate,No,1828,1330,100,360,0,Urban,Rejected,Low,3158,High Risk
LP001112,Female,Yes,0,Graduate,No,3667,1459,144,360,1,Semiurban,Approved,Medium,5126,Low Risk
LP001114,Male,No,0,Graduate,No,4166,7210,184,360,1,Urban,Approved,Medium,11376,Low Risk
LP001116,Male,No,0,Not Graduate,No,3748,1668,110,360,1,Semiurban,Approved,Medium,5416,Low Risk
LP001119,Male,No,0,Graduate,No,3600,0,80,360,1,Urban,Rejected,Medium,3600,Low Risk
LP001120,Male,No,0,Graduate,No,1800,1213,47,360,1,Urban,Approved,Low,3013,Low Risk
LP001123,Male,Yes,0,Graduate,No,2400,0,75,360,1,Urban,Approved,Low,2400,Low Risk
LP001131,Male,Yes,0,Graduate,No,3941,2336,134,360,1,Semiurban,Approved,Medium,6277,Low Risk
LP001136,Male,Yes,0,Not Graduate,Yes,4695,0,96,360,1,Urban,Approved,Medium,4695,Low Risk
LP001137,Female,No,0,Graduate,No,3410,0,88,360,1,Urban,Approved,Medium,3410,Low Risk
LP001138,Male,Yes,1,Graduate,No,5649,0,44,360,1,Urban,Approved,Medium,5649,Low Risk
LP001144,Male,Yes,0,Graduate,No,5821,0,144,360,1,Urban,Approved,Medium,5821,Low Risk
LP001146,Female,Yes,0,Graduate,No,2645,3440,120,360,0,Urban,Rejected,Low,6085,High Risk
LP001151,Female,No,0,Graduate,No,4000,2275,144,360,1,Semiurban,Approved,Medium,6275,Low Risk
LP001155,Female,Yes,0,Not Graduate,No,1928,1644,100,360,1,Semiurban,Approved,Low,3572,Low Risk
LP001157,Female,No,0,Graduate,No,3086,0,120,360,1,Semiurban,Approved,Medium,3086,Low Risk
LP001164,Female,No,0,Graduate,No,4230,0,112,360,1,Semiurban,Rejected,Medium,4230,Low Risk
LP001179,Male,Yes,2,Graduate,No,4616,0,134,360,1,Urban,Rejected,Medium,4616,Low Risk
LP001186,Female,Yes,1,Graduate,Yes,11500,0,286,360,0,Urban,Rejected,High,11500,High Risk
LP001194,Male,Yes,2,Graduate,No,2708,1167,97,360,1,Semiurban,Approved,Low,3875,Low Risk
LP001195,Male,Yes,0,Graduate,No,2132,1591,96,360,1,Semiurban,Approved,Low,3723,Low Risk
LP001197,Male,Yes,0,Graduate,No,3366,2200,135,360,1,Rural,Rejected,Medium,5566,Low Risk
LP001198,Male,Yes,1,Graduate,No,8080,2250,180,360,1,Urban,Approved,High,10330,Low Risk
LP001199,Male,Yes,2,Not Graduate,No,3357,2859,144,360,1,Urban,Approved,Medium,6216,Low Risk
LP001205,Male,Yes,0,Graduate,No,2500,3796,120,360,1,Urban,Approved,Low,6296,Low Risk
LP001206,Male,Yes,3,Graduate,No,3029,0,99,360,1,Urban,Approved,Medium,3029,Low Risk
LP001207,Male,Yes,0,Not Graduate,Yes,2609,3449,165,180,0,Rural,Rejected,Low,6058,High Risk
LP001213,Male,Yes,1,Graduate,No,4945,0,146,360,0,Rural,Rejected,Medium,4945,High Risk
LP001222,Female,No,0,Graduate,No,4166,0,116,360,0,Semiurban,Rejected,Medium,4166,High Risk
LP001225,Male,Yes,0,Graduate,No,5726,4595,258,360,1,Semiurban,Rejected,Medium,10321,Low Risk
LP001228,Male,No,0,Not Graduate,No,3200,2254,126,180,0,Urban,Rejected,Medium,5454,High Risk
LP001233,Male,Yes,1,Graduate,No,10750,0,312,360,1,Urban,Approved,High,10750,Low Risk
LP001238,Male,Yes,3,Not Graduate,Yes,7100,0,125,60,1,Urban,Approved,High,7100,Low Risk
LP001241,Female,No,0,Graduate,No,4300,0,136,360,0,Semiurban,Rejected,Medium,4300,High Risk
LP001243,Male,Yes,0,Graduate,No,3208,3066,172,360,1,Urban,Approved,Medium,6274,Low Risk
LP001245,Male,Yes,2,Not Graduate,Yes,1875,1875,97,360,1,Semiurban,Approved,Low,3750,Low Risk
LP001248,Male,No,0,Graduate,No,3500,0,81,300,1,Semiurban,Approved,Medium,3500,Low Risk
LP001250,Male,Yes,3,Not Graduate,No,4755,0,95,360,0,Semiurban,Rejected,Medium,4755,High Risk
LP001253,Male,Yes,3,Graduate,Yes,5266,1774,187,360,1,Semiurban,Approved,Medium,7040,Low Risk
LP001255,Male,No,0,Graduate,No,3750,0,113,480,1,Urban,Rejected,Medium,3750,Low Risk
LP001256,Male,No,0,Graduate,No,3750,4750,176,360,1,Urban,Rejected,Medium,8500,Low Risk
LP001259,Male,Yes,1,Graduate,Yes,1000,3022,110,360,1,Urban,Rejected,Low,4022,Low Risk
LP001263,Male,Yes,3,Graduate,No,3167,4000,180,300,0,Semiurban,Rejected,Medium,7167,High Risk
LP001264,Male,Yes,3,Not Graduate,Yes,3333,2166,130,360,1,Semiurban,Approved,Medium,5499,Low Risk
LP001265,Female,No,0,Graduate,No,3846,0,111,360,1,Semiurban,Approved,Medium,3846,Low Risk
LP001266,Male,Yes,1,Graduate,Yes,2395,0,146,360,1,Semiurban,Approved,Low,2395,Low Risk
LP001267,Female,Yes,2,Graduate,No,1378,1881,167,360,1,Urban,Rejected,Low,3259,Low Risk
LP001273,Male,Yes,0,Graduate,No,6000,2250,265,360,1,Semiurban,Rejected,Medium,8250,Low Risk
LP001275,Male,Yes,1,Graduate,No,3988,0,50,240,1,Urban,Approved,Medium,3988,Low Risk
LP001279,Male,No,0,Graduate,No,2366,2531,136,360,1,Semiurban,Approved,Low,4897,Low Risk
LP001280,Male,Yes,2,Not Graduate,No,3333,2000,99,360,1,Semiurban,Approved,Medium,5333,Low Risk
LP001282,Male,Yes,0,Graduate,No,2500,2118,104,360,1,Semiurban,Approved,Low,4618,Low Risk
LP001289,Male,No,0,Graduate,No,8566,0,210,360,1,Urban,Approved,High,8566,Low Risk
LP001310,Male,Yes,0,Graduate,No,5695,4167,175,360,1,Semiurban,Approved,Medium,9862,Low Risk
LP001316,Male,Yes,0,Graduate,No,2958,2900,131,360,1,Semiurban,Approved,Low,5858,Low Risk
LP001318,Male,Yes,2,Graduate,No,6250,5654,188,180,1,Semiurban,Approved,Medium,11904,Low Risk
LP001319,Male,Yes,2,Not Graduate,No,3273,1820,81,360,1,Urban,Approved,Medium,5093,Low Risk
LP001322,Male,No,0,Graduate,No,4133,0,122,360,1,Semiurban,Approved,Medium,4133,Low Risk
LP001325,Male,No,0,Not Graduate,No,3620,0,25,120,1,Semiurban,Approved,Medium,3620,Low Risk
LP001326,Male,No,0,Graduate,No,6782,0,146,360,1,Urban,Rejected,Medium,6782,Low Risk
LP001327,Female,Yes,0,Graduate,No,2484,2302,137,360,1,Semiurban,Approved,Low,4786,Low Risk
LP001333,Male,Yes,0,Graduate,No,1977,997,50,360,1,Semiurban,Approved,Low,2974,Low Risk
LP001334,Male,Yes,0,Not Graduate,No,4188,0,115,180,1,Semiurban,Approved,Medium,4188,Low Risk
LP001343,Male,Yes,0,Graduate,No,1759,3541,131,360,1,Semiurban,Approved,Low,5300,Low Risk
LP001345,Male,Yes,2,Not Graduate,No,4288,3263,133,180,1,Urban,Approved,Medium,7551,Low Risk
LP001349,Male,No,0,Graduate,No,4843,3806,151,360,1,Semiurban,Approved,Medium,8649,Low Risk
LP001350,Male,Yes,0,Graduate,No,13650,0,146,360,1,Urban,Approved,High,13650,Low Risk
LP001356,Male,Yes,0,Graduate,No,4652,3583,146,360,1,Semiurban,Approved,Medium,8235,Low Risk
LP001357,Male,Yes,0,Graduate,No,3816,754,160,360,1,Urban,Approved,Medium,4570,Low Risk
LP001367,Male,Yes,1,Graduate,No,3052,1030,100,360,1,Urban,Approved,Medium,4082,Low Risk
LP001369,Male,Yes,2,Graduate,No,11417,1126,225,360,1,Urban,Approved,High,12543,Low Risk
LP001370,Male,No,0,Not Graduate,No,7333,0,120,360,1,Rural,Rejected,High,7333,Low Risk
LP001379,Male,Yes,2,Graduate,No,3800,3600,216,360,0,Urban,Rejected,Medium,7400,High Risk
LP001384,Male,Yes,3,Not Graduate,No,2071,754,94,480,1,Semiurban,Approved,Low,2825,Low Risk
LP001385,Male,No,0,Graduate,No,5316,0,136,360,1,Urban,Approved,Medium,5316,Low Risk
LP001387,Female,Yes,0,Graduate,No,2929,2333,139,360,1,Semiurban,Approved,Low,5262,Low Risk
LP001391,Male,Yes,0,Not Graduate,No,3572,4114,152,360,0,Rural,Rejected,Medium,7686,High Risk
LP001392,Female,No,1,Graduate,Yes,7451,0,146,360,1,Semiurban,Approved,High,7451,Low Risk
LP001398,Male,No,0,Graduate,No,5050,0,118,360,1,Semiurban,Approved,Medium,5050,Low Risk
LP001401,Male,Yes,1,Graduate,No,14583,0,185,180,1,Rural,Approved,High,14583,Low Risk
LP001404,Female,Yes,0,Graduate,No,3167,2283,154,360,1,Semiurban,Approved,Medium,5450,Low Risk
LP001405,Male,Yes,1,Graduate,No,2214,1398,85,360,1,Urban,Approved,Low,3612,Low Risk
LP001421,Male,Yes,0,Graduate,No,5568,2142,175,360,1,Rural,Rejected,Medium,7710,Low Risk
LP001422,Female,No,0,Graduate,No,10408,0,259,360,1,Urban,Approved,High,10408,Low Risk
LP001426,Male,Yes,0,Graduate,No,5667,2667,180,360,1,Rural,Approved,Medium,8334,Low Risk
LP001430,Female,No,0,Graduate,No,4166,0,44,360,1,Semiurban,Approved,Medium,4166,Low Risk
LP001431,Female,No,0,Graduate,No,2137,8980,137,360,0,Semiurban,Approved,Low,11117,High Risk
LP001432,Male,Yes,2,Graduate,No,2957,0,81,360,1,Semiurban,Approved,Low,2957,Low Risk
LP001439,Male,Yes,0,Not Graduate,No,4300,2014,194,360,1,Rural,Approved,Medium,6314,Low Risk
LP001443,Female,No,0,Graduate,No,3692,0,93,360,1,Rural,Approved,Medium,3692,Low Risk
LP001448,Male,Yes,3,Graduate,No,23803,0,370,360,1,Rural,Approved,High,23803,Low Risk
LP001449,Male,No,0,Graduate,No,3865,1640,146,360,1,Rural,Approved,Medium,5505,Low Risk
LP001451,Male,Yes,1,Graduate,Yes,10513,3850,160,180,0,Urban,Rejected,High,14363,High Risk
LP001465,Male,Yes,0,Graduate,No,6080,2569,182,360,1,Rural,Rejected,Medium,8649,Low Risk
LP001469,Male,No,0,Graduate,Yes,20166,0,650,480,1,Urban,Approved,High,20166,Low Risk
LP001473,Male,No,0,Graduate,No,2014,1929,74,360,1,Urban,Approved,Low,3943,Low Risk
LP001478,Male,No,0,Graduate,No,2718,0,70,360,1,Semiurban,Approved,Low,2718,Low Risk
LP001482,Male,Yes,0,Graduate,Yes,3459,0,25,120,1,Semiurban,Approved,Medium,3459,Low Risk
LP001487,Male,No,0,Graduate,No,4895,0,102,360,1,Semiurban,Approved,Medium,4895,Low Risk
LP001488,Male,Yes,3,Graduate,No,4000,7750,290,360,1,Semiurban,Rejected,Medium,11750,Low Risk
LP001489,Female,Yes,0,Graduate,No,4583,0,84,360,1,Rural,Rejected,Medium,4583,Low Risk
LP001491,Male,Yes,2,Graduate,Yes,3316,3500,88,360,1,Urban,Approved,Medium,6816,Low Risk
LP001492,Male,No,0,Graduate,No,14999,0,242,360,0,Semiurban,Rejected,High,14999,High Risk
LP001493,Male,Yes,2,Not Graduate,No,4200,1430,129,360,1,Rural,Rejected,Medium,5630,Low Risk
LP001497,Male,Yes,2,Graduate,No,5042,2083,185,360,1,Rural,Rejected,Medium,7125,Low Risk
LP001498,Male,No,0,Graduate,No,5417,0,168,360,1,Urban,Approved,Medium,5417,Low Risk
LP001504,Male,No,0,Graduate,Yes,6950,0,175,180,1,Semiurban,Approved,Medium,6950,Low Risk
LP001507,Male,Yes,0,Graduate,No,2698,2034,122,360,1,Semiurban,Approved,Low,4732,Low Risk
LP001508,Male,Yes,2,Graduate,No,11757,0,187,180,1,Urban,Approved,High,11757,Low Risk
LP001514,Female,Yes,0,Graduate,No,2330,4486,100,360,1,Semiurban,Approved,Low,6816,Low Risk
LP001516,Female,Yes,2,Graduate,No,14866,0,70,360,1,Urban,Approved,High,14866,Low Risk
LP001518,Male,Yes,1,Graduate,No,1538,1425,30,360,1,Urban,Approved,Low,2963,Low Risk
LP001519,Female,No,0,Graduate,No,10000,1666,225,360,1,Rural,Rejected,High,11666,Low Risk
LP001520,Male,Yes,0,Graduate,No,4860,830,125,360,1,Semiurban,Approved,Medium,5690,Low Risk
LP001528,Male,No,0,Graduate,No,6277,0,118,360,0,Rural,Rejected,Medium,6277,High Risk
LP001529,Male,Yes,0,Graduate,Yes,2577,3750,152,360,1,Rural,Approved,Low,6327,Low Risk
LP001531,Male,No,0,Graduate,No,9166,0,244,360,1,Urban,Rejected,High,9166,Low Risk
LP001532,Male,Yes,2,Not Graduate,No,2281,0,113,360,1,Rural,Rejected,Low,2281,Low Risk
LP001535,Male,No,0,Graduate,No,3254,0,50,360,1,Urban,Approved,Medium,3254,Low Risk
LP001536,Male,Yes,3,Graduate,No,39999,0,600,180,0,Semiurban,Approved,High,39999,High Risk
LP001541,Male,Yes,1,Graduate,No,6000,0,160,360,1,Rural,Approved,Medium,6000,Low Risk
LP001543,Male,Yes,1,Graduate,No,9538,0,187,360,1,Urban,Approved,High,9538,Low Risk
LP001546,Male,No,0,Graduate,No,2980,2083,120,360,1,Rural,Approved,Low,5063,Low Risk
LP001552,Male,Yes,0,Graduate,No,4583,5625,255,360,1,Semiurban,Approved,Medium,10208,Low Risk
LP001560,Male,Yes,0,Not Graduate,No,1863,1041,98,360,1,Semiurban,Approved,Low,2904,Low Risk
LP001562,Male,Yes,0,Graduate,No,7933,0,275,360,1,Urban,Rejected,High,7933,Low Risk
LP001565,Male,Yes,1,Graduate,No,3089,1280,121,360,0,Semiurban,Rejected,Medium,4369,High Risk
LP001570,Male,Yes,2,Graduate,No,4167,1447,158,360,1,Rural,Approved,Medium,5614,Low Risk
LP001572,Male,Yes,0,Graduate,No,9323,0,75,180,1,Urban,Approved,High,9323,Low Risk
LP001574,Male,Yes,0,Graduate,No,3707,3166,182,360,1,Rural,Approved,Medium,6873,Low Risk
LP001577,Female,Yes,0,Graduate,No,4583,0,112,360,1,Rural,Rejected,Medium,4583,Low Risk
LP001578,Male,Yes,0,Graduate,No,2439,3333,129,360,1,Rural,Approved,Low,5772,Low Risk
LP001579,Male,No,0,Graduate,No,2237,0,63,480,0,Semiurban,Rejected,Low,2237,High Risk
LP001580,Male,Yes,2,Graduate,No,8000,0,200,360,1,Semiurban,Approved,High,8000,Low Risk
LP001581,Male,Yes,0,Not Graduate,No,1820,1769,95,360,1,Rural,Approved,Low,3589,Low Risk
LP001585,Male,Yes,3,Graduate,No,51763,0,700,300,1,Urban,Approved,High,51763,Low Risk
LP001586,Male,Yes,3,Not Graduate,No,3522,0,81,180,1,Rural,Rejected,Medium,3522,Low Risk
LP001594,Male,Yes,0,Graduate,No,5708,5625,187,360,1,Semiurban,Approved,Medium,11333,Low Risk
LP001603,Male,Yes,0,Not Graduate,Yes,4344,736,87,360,1,Semiurban,Rejected,Medium,5080,Low Risk
LP001606,Male,Yes,0,Graduate,No,3497,1964,116,360,1,Rural,Approved,Medium,5461,Low Risk
LP001608,Male,Yes,2,Graduate,No,2045,1619,101,360,1,Rural,Approved,Low,3664,Low Risk
LP001610,Male,Yes,3,Graduate,No,5516,11300,495,360,0,Semiurban,Rejected,Medium,16816,High Risk
LP001616,Male,Yes,1,Graduate,No,3750,0,116,360,1,Semiurban,Approved,Medium,3750,Low Risk
LP001630,Male,No,0,Not Graduate,No,2333,1451,102,480,0,Urban,Rejected,Low,3784,High Risk
LP001633,Male,Yes,1,Graduate,No,6400,7250,180,360,0,Urban,Rejected,Medium,13650,High Risk
LP001634,Male,No,0,Graduate,No,1916,5063,67,360,1,Rural,Rejected,Low,6979,Low Risk
LP001636,Male,Yes,0,Graduate,No,4600,0,73,180,1,Semiurban,Approved,Medium,4600,Low Risk
LP001637,Male,Yes,1,Graduate,No,33846,0,260,360,1,Semiurban,Rejected,High,33846,Low Risk
LP001639,Female,Yes,0,Graduate,No,3625,0,108,360,1,Semiurban,Approved,Medium,3625,Low Risk
LP001640,Male,Yes,0,Graduate,Yes,39147,4750,120,360,1,Semiurban,Approved,High,43897,Low Risk
LP001641,Male,Yes,1,Graduate,Yes,2178,0,66,300,0,Rural,Rejected,Low,2178,High Risk
LP001643,Male,Yes,0,Graduate,No,2383,2138,58,360,1,Rural,Approved,Low,4521,Low Risk
LP001644,Male,Yes,0,Graduate,Yes,674,5296,168,360,1,Rural,Approved,Low,5970,Low Risk
LP001647,Male,Yes,0,Graduate,No,9328,0,188,180,1,Rural,Approved,High,9328,Low Risk
LP001653,Male,No,0,Not Graduate,No,4885,0,48,360,1,Rural,Approved,Medium,4885,Low Risk
LP001656,Male,No,0,Graduate,No,12000,0,164,360,1,Semiurban,Rejected,High,12000,Low Risk
LP001657,Male,Yes,0,Not Graduate,No,6033,0,160,360,1,Urban,Rejected,Medium,6033,Low Risk
LP001658,Male,No,0,Graduate,No,3858,0,76,360,1,Semiurban,Approved,Medium,3858,Low Risk
LP001664,Male,No,0,Graduate,No,4191,0,120,360,1,Rural,Approved,Medium,4191,Low Risk
LP001665,Male,Yes,1,Graduate,No,3125,2583,170,360,1,Semiurban,Rejected,Medium,5708,Low Risk
LP001666,Male,No,0,Graduate,No,8333,3750,187,360,1,Rural,Approved,High,12083,Low Risk
LP001669,Female,No,0,Not Graduate,No,1907,2365,120,360,1,Urban,Approved,Low,4272,Low Risk
LP001671,Female,Yes,0,Graduate,No,3416,2816,113,360,1,Semiurban,Approved,Medium,6232,Low Risk
LP001673,Male,No,0,Graduate,Yes,11000,0,83,360,1,Urban,Rejected,High,11000,Low Risk
LP001674,Male,Yes,1,Not Graduate,No,2600,2500,90,360,1,Semiurban,Approved,Low,5100,Low Risk
LP001677,Male,No,2,Graduate,No,4923,0,166,360,0,Semiurban,Approved,Medium,4923,High Risk
LP001682,Male,Yes,3,Not Graduate,No,3992,0,146,180,1,Urban,Rejected,Medium,3992,Low Risk
LP001688,Male,Yes,1,Not Graduate,No,3500,1083,135,360,1,Urban,Approved,Medium,4583,Low Risk
LP001691,Male,Yes,2,Not Graduate,No,3917,0,124,360,1,Semiurban,Approved,Medium,3917,Low Risk
LP001692,Female,No,0,Not Graduate,No,4408,0,120,360,1,Semiurban,Approved,Medium,4408,Low Risk
LP001693,Female,No,0,Graduate,No,3244,0,80,360,1,Urban,Approved,Medium,3244,Low Risk
LP001698,Male,No,0,Not Graduate,No,3975,2531,55,360,1,Rural,Approved,Medium,6506,Low Risk
LP001699,Male,No,0,Graduate,No,2479,0,59,360,1,Urban,Approved,Low,2479,Low Risk
LP001702,Male,No,0,Graduate,No,3418,0,127,360,1,Semiurban,Rejected,Medium,3418,Low Risk
LP001708,Female,No,0,Graduate,No,10000,0,214,360,1,Semiurban,Rejected,High,10000,Low Risk
LP001711,Male,Yes,3,Graduate,No,3430,1250,128,360,0,Semiurban,Rejected,Medium,4680,High Risk
LP001713,Male,Yes,1,Graduate,Yes,7787,0,240,360,1,Urban,Approved,High,7787,Low Risk
LP001715,Male,Yes,3,Not Graduate,Yes,5703,0,130,360,1,Rural,Approved,Medium,5703,Low Risk
LP001716,Male,Yes,0,Graduate,No,3173,3021,137,360,1,Urban,Approved,Medium,6194,Low Risk
LP001720,Male,Yes,3,Not Graduate,No,3850,983,100,360,1,Semiurban,Approved,Medium,4833,Low Risk
LP001722,Male,Yes,0,Graduate,No,150,1800,135,360,1,Rural,Rejected,Low,1950,Low Risk
LP001726,Male,Yes,0,Graduate,No,3727,1775,131,360,1,Semiurban,Approved,Medium,5502,Low Risk
LP001732,Male,Yes,2,Graduate,No,5000,0,72,360,0,Semiurban,Rejected,Medium,5000,High Risk
LP001734,Female,Yes,2,Graduate,No,4283,2383,127,360,1,Semiurban,Approved,Medium,6666,Low Risk
LP001736,Male,Yes,0,Graduate,No,2221,0,60,360,0,Urban,Rejected,Low,2221,High Risk
LP001743,Male,Yes,2,Graduate,No,4009,1717,116,360,1,Semiurban,Approved,Medium,5726,Low Risk
LP001744,Male,No,0,Graduate,No,2971,2791,144,360,1,Semiurban,Approved,Low,5762,Low Risk
LP001749,Male,Yes,0,Graduate,No,7578,1010,175,360,1,Semiurban,Approved,High,8588,Low Risk
LP001750,Male,Yes,0,Graduate,No,6250,0,128,360,1,Semiurban,Approved,Medium,6250,Low Risk
LP001751,Male,Yes,0,Graduate,No,3250,0,170,360,1,Rural,Rejected,Medium,3250,Low Risk
LP001754,Male,Yes,0,Not Graduate,Yes,4735,0,138,360,1,Urban,Rejected,Medium,4735,Low Risk
LP001758,Male,Yes,2,Graduate,No,6250,1695,210,360,1,Semiurban,Approved,Medium,7945,Low Risk
LP001760,Male,Yes,0,Graduate,No,4758,0,158,480,1,Semiurban,Approved,Medium,4758,Low Risk
LP001761,Male,No,0,Graduate,Yes,6400,0,200,360,1,Rural,Approved,Medium,6400,Low Risk
LP001765,Male,Yes,1,Graduate,No,2491,2054,104,360,1,Semiurban,Approved,Low,4545,Low Risk
LP001768,Male,Yes,0,Graduate,No,3716,0,42,180,1,Rural,Approved,Medium,3716,Low Risk
LP001770,Male,No,0,Not Graduate,No,3189,2598,120,360,1,Rural,Approved,Medium,5787,Low Risk
LP001776,Female,No,0,Graduate,No,8333,0,280,360,1,Semiurban,Approved,High,8333,Low Risk
LP001778,Male,Yes,1,Graduate,No,3155,1779,140,360,1,Semiurban,Approved,Medium,4934,Low Risk
LP001784,Male,Yes,1,Graduate,No,5500,1260,170,360,1,Rural,Approved,Medium,6760,Low Risk
LP001786,Male,Yes,0,Graduate,No,5746,0,255,360,1,Urban,Rejected,Medium,5746,Low Risk
LP001788,Female,No,0,Graduate,Yes,3463,0,122,360,1,Urban,Approved,Medium,3463,Low Risk
LP001790,Female,No,1,Graduate,No,3812,0,112,360,1,Rural,Approved,Medium,3812,Low Risk
LP001792,Male,Yes,1,Graduate,No,3315,0,96,360,1,Semiurban,Approved,Medium,3315,Low Risk
LP001798,Male,Yes,2,Graduate,No,5819,5000,120,360,1,Rural,Approved,Medium,10819,Low Risk
LP001800,Male,Yes,1,Not Graduate,No,2510,1983,140,180,1,Urban,Rejected,Low,4493,Low Risk
LP001806,Male,No,0,Graduate,No,2965,5701,155,60,1,Urban,Approved,Low,8666,Low Risk
LP001807,Male,Yes,2,Graduate,Yes,6250,1300,108,360,1,Rural,Approved,Medium,7550,Low Risk
LP001811,Male,Yes,0,Not Graduate,No,3406,4417,123,360,1,Semiurban,Approved,Medium,7823,Low Risk
LP001813,Male,No,0,Graduate,Yes,6050,4333,120,180,1,Urban,Rejected,Medium,10383,Low Risk
LP001814,Male,Yes,2,Graduate,No,9703,0,112,360,1,Urban,Approved,High,9703,Low Risk
LP001819,Male,Yes,1,Not Graduate,No,6608,0,137,180,1,Urban,Approved,Medium,6608,Low Risk
LP001824,Male,Yes,1,Graduate,No,2882,1843,123,480,1,Semiurban,Approved,Low,4725,Low Risk
LP001825,Male,Yes,0,Graduate,No,1809,1868,90,360,1,Urban,Approved,Low,3677,Low Risk
LP001835,Male,Yes,0,Not Graduate,No,1668,3890,201,360,0,Semiurban,Rejected,Low,5558,High Risk
LP001836,Female,No,2,Graduate,No,3427,0,138,360,1,Urban,Rejected,Medium,3427,Low Risk
LP001841,Male,No,0,Not Graduate,Yes,2583,2167,104,360,1,Rural,Approved,Low,4750,Low Risk
LP001843,Male,Yes,1,Not Graduate,No,2661,7101,279,180,1,Semiurban,Approved,Low,9762,Low Risk
LP001844,Male,No,0,Graduate,Yes,16250,0,192,360,0,Urban,Rejected,High,16250,High Risk
